"","V1","mean","sd","X2.5.","X50.","X97.5.","Rhat","n.eff"
"Linf_mu","Model 1","61.41426723122","1.82920203319375","58.0875322931357","61.3095924526133","65.2352955910057","1.00257691244239","1600"
"Linf_std","Model 1","5.29485669015156","0.35190761770588","4.61311582972894","5.29275391157213","5.99440603946882","1.00106331693892","26000"
"Linf_tau","Model 1","0.0361507652219755","0.0049040009563588","0.0278296462348708","0.0356974008838755","0.0469906314801841","1.00106331693892","26000"
"Shape","Model 1","31.1381248409362","5.3461058285052","22.3912753756623","30.55916866016","43.4507509425278","1.00177299212541","2500"
"deviance","Model 1","3404.45477806477","105.133030120396","3185.37074745868","3408.41235216103","3597.4777060022","1.0018106148192","2400"
"k_mu","Model 1","0.294167736107174","0.0280477421734383","0.242179616384587","0.293518322402951","0.351929452365294","1.00315038681786","1400"
"k_std","Model 1","0.00906919255285919","0.00317158824209712","0.00467741653957369","0.0084602060723532","0.0169016887804132","1.00130499350354","6300"
"k_tau","Model 1","16745.5714428819","11200.9385229719","3500.57832107602","13971.3417739938","45707.5461033324","1.00130499350354","6300"
"rate","Model 1","11.7016484759873","1.8196589291897","8.69288934164425","11.5114572377066","15.8362197734214","1.00146245213265","4200"
"tau","Model 1","0.212300138381128","0.0313288055048935","0.160484377932141","0.209066879969844","0.282744072241651","1.0015830115165","3300"
"variance","Model 1","4.80983013213544","0.688943574801757","3.53676733899954","4.78315838522218","6.23113609489665","1.0015830115165","3300"
"Linf_mu.1","Model 2","61.7914316414209","1.79669636677954","58.5206741018001","61.6922453264944","65.6167377231876","1.00250074971735","1300"
"Linf_std.1","Model 2","5.32667104544012","0.348762703738453","4.64972619132205","5.32325373251722","6.02167354827166","1.00101611369398","64000"
"Linf_tau.1","Model 2","0.0357049861387496","0.00475802207376408","0.0275781789290212","0.035289513028937","0.0462535681616815","1.00101611369398","64000"
"Shape.1","Model 2","31.114592884433","5.08621286736311","22.6838995053711","30.5913868044505","42.6928846003319","1.00162190637336","3100"
"deviance.1","Model 2","3413.19385141622","101.119529294733","3201.73969063966","3417.04209457012","3599.65935340277","1.0014539587051","4300"
"k_mu.1","Model 2","0.287302487919367","0.0316415906234981","0.226749884476039","0.286993872496758","0.350458138992388","1.00200973799528","2000"
"k_std.1","Model 2","0.0163079409012952","0.0169220635345005","0.00517774668022003","0.0118598223691959","0.0541472732818633","1.00099002199186","110000"
"k_tau.1","Model 2","10173.4048750266","10098.4391822124","341.07258825635","7109.57485502139","37300.8219783344","1.00099002199186","110000"
"rate.1","Model 2","11.5677642207406","1.74920482340329","8.65610190175275","11.3902152646162","15.5262107968396","1.00135438578992","5400"
"tau.1","Model 2","0.209737164163911","0.0300061528396201","0.159836368101978","0.206713807134054","0.277266858594966","1.00139761253346","4900"
"variance.1","Model 2","4.86270209540097","0.676320001820203","3.6066337140596","4.83760622410433","6.25639841467109","1.00139761253346","4900"
"Linf_mu.2","Model 3","73.6863896276538","4.96364334484247","61.782086328632","73.7804663548665","83.303680280627","1.00110457904975","17000"
"Linf_std.2","Model 3","22.0244857550089","2002.45883858","0.0115585828420244","0.501682595603849","61.4811721942481","1.00102502844166","50000"
"Linf_tau.2","Model 3","717.792361153813","2585.99128882223","0.000264554846361736","3.973213757289","7484.98302922451","1.00102502844166","50000"
"Shape.2","Model 3","63.5444956296508","13.6473938450941","41.4335740766861","61.8514065173142","93.7708145308407","1.00766172074369","300"
"deviance.2","Model 3","3848.00553722822","47.1013675539865","3757.6239899315","3847.49854302391","3941.98972347595","1.0012006997887","9300"
"k_mu.2","Model 3","0.173234801443788","0.0147722512131393","0.145158294731763","0.172875141022394","0.203168434949605","1.00168020344157","2900"
"k_std.2","Model 3","0.0206846217784746","0.00305315100015215","0.0150525803772242","0.0205515853585","0.0269954742795451","1.00286967413068","1100"
"k_tau.2","Model 3","2500.27681030113","791.709225578052","1372.20208897081","2367.60550802994","4413.44877383946","1.00286967413068","1100"
"rate.2","Model 3","18.4017446082493","3.94943852167292","12.0383269615753","17.8944209359292","27.1177707820731","1.00790521339495","290"
"tau.2","Model 3","0.118758948064538","0.00944495158510994","0.101108032070756","0.11844159858094","0.138075755086632","1.00108855341293","19000"
"variance.2","Model 3","8.47384790516863","0.675980762491367","7.24240109621402","8.44297959484751","9.89041107337736","1.00108855341293","19000"
"Linf_mu.3","Model 4","73.6749500903399","5.08310658848456","61.8682416377807","73.7135169142457","83.5327988150763","1.0010646860843","25000"
"Linf_std.3","Model 4","15.5664339080822","512.356684074824","0.0116486464003417","0.502034397719008","59.3418821493991","1.00101592564873","65000"
"Linf_tau.3","Model 4","714.710542554904","2567.90613833036","0.000283973207276291","3.96764722535764","7369.68754723454","1.00101592564873","65000"
"Shape.3","Model 4","32.94388610384","3.68002051292244","26.4053119460727","32.7159087478459","40.8038805891677","1.00110323338746","17000"
"deviance.3","Model 4","3988.92168929884","40.1695787431345","3913.7719888527","3987.83565039235","4070.70260955131","1.00102023945624","57000"
"k_mu.3","Model 4","0.175346807402154","0.0262107353127655","0.130012137089122","0.173833201765317","0.230514025890278","1.00102491983653","50000"
"k_std.3","Model 4","0.0168804288854561","0.0189596252984082","0.00519622911326431","0.0119845232819656","0.0590725920464069","1.00099947875755","110000"
"k_tau.3","Model 4","10041.0393306319","10026.1428191295","286.568166240577","6962.39202627942","37035.9437942247","1.00099947875755","110000"
"rate.3","Model 4","9.40214713435137","0.999924625558231","7.61376369164716","9.34593132614406","11.5258870293593","1.00103698523454","38000"
"tau.3","Model 4","0.0989652494300347","0.00719707063397546","0.0853231838449316","0.0987944543583876","0.113536490480669","1.00099214176618","110000"
"variance.3","Model 4","10.1583474300096","0.74364385773431","8.80774098059924","10.122025638933","11.7201439859233","1.00099214176618","110000"
