"tag_id","movements","distance","classification"
"A608",0,0,"none"
"A609",0,0,"none"
"A702",0,0,"none"
"A727",0,0,"none"
"A728",0,0,"none"
"A743",0,0,"none"
"A747",0,0,"none"
"A754",0,0,"none"
"A763",0,0,"none"
"A783",0,0,"none"
"A788",0,0,"none"
"A796",0,0,"none"
"A797",0,0,"none"
"B084",0,0,"none"
"B090",0,0,"none"
"B627",0,0,"none"
"B714",0,0,"none"
"B731",0,0,"none"
"C714",0,0,"none"
"C725",0,0,"none"
"C726",0,0,"none"
"C734",0,0,"none"
"C742",0,0,"none"
"C788",0,0,"none"
"E051",1,29.9885640891673,"adjacent"
"E052",1,41.4073071274768,"adjacent"
"E053",0,0,"none"
"E066",0,0,"none"
"E070",0,0,"none"
"E075",0,0,"none"
"E078",0,0,"none"
"E081",0,0,"none"
"E082",0,0,"none"
"E088",0,0,"none"
"E108",0,0,"none"
"E144",0,0,"none"
"E148",0,0,"none"
"E164",1,170.624800220585,"inter-island"
"E167",0,0,"none"
"E183",0,0,"none"
"E193",0,0,"none"
"E204",0,0,"none"
"E208",0,0,"none"
"E218",0,0,"none"
"E219",0,0,"none"
"E224",0,0,"none"
"E225",0,0,"none"
"E232",0,0,"none"
"E237",0,0,"none"
"E245",1,50.5400028717603,"adjacent"
"E313",0,0,"none"
"E350",1,23.9326628432527,"adjacent"
"E376",1,45.773020988347,"intra-island"
"E392",1,45.773020988347,"intra-island"
"E395",1,30.677190551444,"adjacent"
"E420",0,0,"none"
"E432",0,0,"none"
"E444",0,0,"none"
"E447",0,0,"none"
"E451",0,0,"none"
"E455",0,0,"none"
"E464",0,0,"none"
"E466",0,0,"none"
"E467",0,0,"none"
"E482",0,0,"none"
"E484",0,0,"none"
"E491",0,0,"none"
"E532",1,19.9419708227518,"adjacent"
"E554",0,0,"none"
"E568",0,0,"none"
"E583",1,59.7844835599041,"intra-island"
"E584",0,0,"none"
"E590",0,0,"none"
"E599",1,60.877068947979,"inter-island"
"E620",0,0,"none"
"E638",0,0,"none"
"E663",0,0,"none"
"E675",0,0,"none"
"E713",0,0,"none"
"E742",1,15.7925055040841,"adjacent"
"E747",0,0,"none"
"E748",0,0,"none"
"E768",0,0,"none"
"E770",0,0,"none"
"E778",1,15.7925055040841,"adjacent"
"E805",1,47.5822186795464,"inter-island"
"E811",0,0,"none"
"E818",0,0,"none"
"E829",0,0,"none"
"E838",1,116.678790735747,"inter-island"
"E851",0,0,"none"
"E864",0,0,"none"
"E867",0,0,"none"
"E868",0,0,"none"
"E869",0,0,"none"
"E872",0,0,"none"
"E874",0,0,"none"
"E875",0,0,"none"
"E876",0,0,"none"
"E877",0,0,"none"
"E883",0,0,"none"
"E886",0,0,"none"
"E890",0,0,"none"
"E895",0,0,"none"
"E911",0,0,"none"
"E914",0,0,"none"
"E925",0,0,"none"
"E927",0,0,"none"
"E928",0,0,"none"
"E930",0,0,"none"
"E931",0,0,"none"
"E953",0,0,"none"
"E973",0,0,"none"
"E989",0,0,"none"
"E996",0,0,"none"
"F799",0,0,"none"
"G121",0,0,"none"
"G124",0,0,"none"
"G132",0,0,"none"
"G151",1,79.736835246624,"intra-island"
"G153",1,79.1335638617104,"intra-island"
"G161",0,0,"none"
"G215",1,42.5578801790512,"inter-island"
"G217",0,0,"none"
"G222",1,59.9762931770238,"inter-island"
"G231",0,0,"none"
"G235",0,0,"none"
"G244",1,116.678790735747,"inter-island"
"G254",0,0,"none"
"G274",0,0,"none"
"G354",0,0,"none"
"G356",0,0,"none"
"G357",1,19.9419708227518,"adjacent"
"G362",0,0,"none"
"G374",0,0,"none"
"G376",0,0,"none"
"G386",1,60.877068947979,"inter-island"
"G389",0,0,"none"
"G390",0,0,"none"
"G396",1,19.9419708227518,"adjacent"
"G403",0,0,"none"
"G405",0,0,"none"
"G426",0,0,"none"
"G432",0,0,"none"
"G435",1,62.4519364223714,"intra-island"
"G472",0,0,"none"
"G491",0,0,"none"
"G522",0,0,"none"
"G532",0,0,"none"
"G537",0,0,"none"
"G539",0,0,"none"
"G545",0,0,"none"
"G548",0,0,"none"
"G552",0,0,"none"
"G555",1,386.094443678508,"adjacent"
"G563",0,0,"none"
"G594",1,22.5612218923121,"adjacent"
"G595",0,0,"none"
"G635",0,0,"none"
"G652",0,0,"none"
"G653",1,60.877068947979,"inter-island"
"G655",0,0,"none"
"G667",0,0,"none"
"G676",0,0,"none"
"G687",0,0,"none"
"G695",0,0,"none"
"G730",1,13.7364759096478,"intra-island"
"G744",1,13.7364759096478,"intra-island"
"G751",1,26.1986786646903,"adjacent"
"G770",0,0,"none"
"G795",0,0,"none"
"G801",0,0,"none"
"G804",0,0,"none"
"G805",0,0,"none"
"G811",0,0,"none"
"G815",2,45.5287603416079,"adjacent"
"G819",0,0,"none"
"G821",0,0,"none"
"G832",0,0,"none"
"G834",0,0,"none"
"G837",0,0,"none"
"G846",1,22.7643801708039,"adjacent"
"G868",0,0,"none"
"G876",1,22.7643801708039,"adjacent"
"G884",1,22.7643801708039,"adjacent"
"G892",0,0,"none"
"G894",1,22.7643801708039,"adjacent"
"G917",1,45.6861228265555,"intra-island"
"G922",1,18.4234702185259,"adjacent"
"G937",0,0,"none"
"G947",2,45.5287603416079,"adjacent"
"G959",0,0,"none"
"H014",0,0,"none"
"H021",1,69.4645836895542,"intra-island"
"H051",1,13.7364759096478,"intra-island"
"H092",0,0,"none"
"H104",1,22.5612218923121,"adjacent"
"H137",1,34.2008913483115,"adjacent"
"H141",0,0,"none"
"H145",0,0,"none"
"H149",2,52.3973573293805,"adjacent"
"H167",1,26.1986786646903,"adjacent"
"H169",0,0,"none"
"H186",0,0,"none"
"H188",1,57.8282813919504,"intra-island"
"H194",0,0,"none"
"H196",0,0,"none"
"H206",0,0,"none"
"H233",0,0,"none"
"H235",0,0,"none"
"H238",1,60.3786956019322,"intra-island"
"H245",0,0,"none"
"H263",0,0,"none"
"H268",1,22.7643801708039,"adjacent"
"H271",0,0,"none"
"H277",0,0,"none"
"H283",1,22.7643801708039,"adjacent"
"H286",1,22.7643801708039,"adjacent"
"H287",0,0,"none"
"H298",1,22.7643801708039,"adjacent"
"H301",0,0,"none"
"H307",1,22.7643801708039,"adjacent"
"H338",1,22.7643801708039,"adjacent"
"H339",1,22.7643801708039,"adjacent"
"H348",1,22.7643801708039,"adjacent"
"H386",1,43.0175468833431,"inter-island"
"H388",0,0,"none"
"H389",1,22.7643801708039,"adjacent"
"H399",0,0,"none"
"H402",0,0,"none"
"H419",0,0,"none"
"H439",1,36.8330835118981,"inter-island"
"H441",0,0,"none"
"H473",1,22.7643801708039,"adjacent"
"H476",1,22.7643801708039,"adjacent"
"H489",0,0,"none"
"H490",1,22.7643801708039,"adjacent"
"H492",1,22.7643801708039,"adjacent"
"H493",1,22.7643801708039,"adjacent"
"H499",1,22.7643801708039,"adjacent"
"H510",0,0,"none"
"H513",0,0,"none"
"H517",0,0,"none"
"H519",0,0,"none"
"H524",0,0,"none"
"H525",0,0,"none"
"H528",0,0,"none"
"H531",0,0,"none"
"H538",1,22.7643801708039,"adjacent"
"H546",0,0,"none"
"H569",0,0,"none"
"H576",1,22.7643801708039,"adjacent"
"H587",0,0,"none"
"H591",0,0,"none"
"H592",1,22.7643801708039,"adjacent"
"H596",1,22.7643801708039,"adjacent"
"H616",0,0,"none"
"H617",0,0,"none"
"H623",0,0,"none"
"H626",0,0,"none"
"H637",0,0,"none"
"H644",1,22.7643801708039,"adjacent"
"H646",1,22.7643801708039,"adjacent"
"H651",0,0,"none"
"H685",1,22.7643801708039,"adjacent"
"H692",0,0,"none"
"H696",0,0,"none"
"H697",1,22.7643801708039,"adjacent"
"H700",0,0,"none"
"H708",1,47.7289331107488,"intra-island"
"H718",1,47.7289331107488,"intra-island"
"H719",1,19.9419708227518,"adjacent"
"H725",0,0,"none"
"H728",1,59.7844835599041,"intra-island"
"H729",0,0,"none"
"H736",0,0,"none"
"H737",1,59.7844835599041,"intra-island"
"H745",0,0,"none"
"H749",1,22.7643801708039,"adjacent"
"H752",0,0,"none"
"H753",0,0,"none"
"H763",1,22.7643801708039,"adjacent"
"H770",0,0,"none"
"H771",0,0,"none"
"H772",1,22.7643801708039,"adjacent"
"H775",0,0,"none"
"H782",0,0,"none"
"H788",0,0,"none"
"H795",0,0,"none"
"H802",1,41.8364880942753,"inter-island"
"H805",0,0,"none"
"H811",0,0,"none"
"H814",0,0,"none"
"H819",0,0,"none"
"H824",1,73.4400116357012,"intra-island"
"H828",0,0,"none"
"H830",0,0,"none"
"H831",0,0,"none"
"H841",0,0,"none"
"H849",0,0,"none"
"H856",1,317.34429560033,"inter-island"
"H874",0,0,"none"
"H878",0,0,"none"
"H881",1,43.0175468833431,"inter-island"
"H891",1,22.7643801708039,"adjacent"
"H915",1,22.7643801708039,"adjacent"
"H916",1,96.2035068482742,"inter-island"
"H921",1,22.7643801708039,"adjacent"
"H934",1,22.7643801708039,"adjacent"
"H942",1,22.7643801708039,"adjacent"
"H947",1,22.7643801708039,"adjacent"
"H956",0,0,"none"
"H965",1,22.7643801708039,"adjacent"
"H967",1,22.7643801708039,"adjacent"
"H969",0,0,"none"
"H976",0,0,"none"
"H978",1,73.4400116357012,"intra-island"
"H979",0,0,"none"
"H981",0,0,"none"
"H991",1,47.7289331107488,"intra-island"
"H998",0,0,"none"
"J046",0,0,"none"
"J048",0,0,"none"
"J072",0,0,"none"
"J075",0,0,"none"
"J080",1,19.9419708227518,"adjacent"
"J081",0,0,"none"
"J084",0,0,"none"
"J089",1,19.9419708227518,"adjacent"
"J094",1,19.9419708227518,"adjacent"
"J100",1,19.9419708227518,"adjacent"
"J106",0,0,"none"
"J120",0,0,"none"
"J124",0,0,"none"
"J127",1,19.9419708227518,"adjacent"
"J128",0,0,"none"
"J134",0,0,"none"
"J151",0,0,"none"
"J175",1,19.9419708227518,"adjacent"
"J179",1,19.9419708227518,"adjacent"
"J184",1,19.9419708227518,"adjacent"
"J219",1,22.7643801708039,"adjacent"
"J224",0,0,"none"
"J233",1,116.678790735747,"inter-island"
"J301",0,0,"none"
"J303",0,0,"none"
"J305",0,0,"none"
"J306",0,0,"none"
"J307",0,0,"none"
"J318",0,0,"none"
"J320",0,0,"none"
"J481",0,0,"none"
"J536",1,57.8282813919504,"intra-island"
"J548",0,0,"none"
"J565",1,22.7643801708039,"adjacent"
"J566",1,23.9326628432527,"intra-island"
"P711",1,10.68307130369,"adjacent"
"P714",1,169.201658975125,"inter-island"
"P719",0,0,"none"
"P720",0,0,"none"
"P722",0,0,"none"
"P742",0,0,"none"
"P748",0,0,"none"
"P754",0,0,"none"
"P759",0,0,"none"
"P774",1,21.7288643206667,"intra-island"
"P807S",0,0,"none"
"P818",1,33.3322183250968,"intra-island"
"P845",0,0,"none"
"P866",1,60.877068947979,"inter-island"
"P886",0,0,"none"
"P901",0,0,"none"
"P912",0,0,"none"
"P941",0,0,"none"
"P955",0,0,"none"
"P960",0,0,"none"
"P961",0,0,"none"
"P972",0,0,"none"
"Q002",0,0,"none"
"Q109",0,0,"none"
"Q112",1,32.0741237335471,"intra-island"
"Q116",1,47.7289331107488,"intra-island"
"Q126",0,0,"none"
"Q130",0,0,"none"
"Q131",0,0,"none"
"Q137",0,0,"none"
"Q143",1,47.7289331107488,"intra-island"
"Q154",1,22.7643801708039,"adjacent"
"Q158",1,47.7289331107488,"intra-island"
"Q160",0,0,"none"
"Q165",0,0,"none"
"Q172",0,0,"none"
"Q175",0,0,"none"
"Q178",0,0,"none"
"Q198",1,38.3455494442335,"intra-island"
"Q201",0,0,"none"
"Q202",1,21.7288643206667,"intra-island"
"Q206",0,0,"none"
"Q217",0,0,"none"
"Q225",0,0,"none"
"Q230",0,0,"none"
"Q230",0,0,"none"
"Q236",0,0,"none"
"Q245",0,0,"none"
"Q251",0,0,"none"
"Q253",0,0,"none"
"Q254",0,0,"none"
"Q256",0,0,"none"
"Q265",0,0,"none"
"Q267",0,0,"none"
"Q271",0,0,"none"
"Q277",0,0,"none"
"Q286",0,0,"none"
"Q294",0,0,"none"
"Q300S",0,0,"none"
"Q326",1,47.7289331107488,"intra-island"
"Q331",1,33.3322183250968,"intra-island"
"Q337",1,47.7289331107488,"intra-island"
"Q343L",1,47.7289331107488,"intra-island"
"Q347L",0,0,"none"
"Q350",0,0,"none"
"Q358L",0,0,"none"
"Q403",1,47.7289331107488,"intra-island"
"Q410",0,0,"none"
"Q415",1,47.7289331107488,"intra-island"
"Q418",0,0,"none"
"Q427",0,0,"none"
"Q430",0,0,"none"
"Q435",0,0,"none"
"Q437",0,0,"none"
"Q441",0,0,"none"
"Q442",0,0,"none"
"Q451",0,0,"none"
"Q457",0,0,"none"
"Q459",0,0,"none"
"Q476",0,0,"none"
"Q478",0,0,"none"
"Q480",1,33.3322183250968,"intra-island"
"Q482",0,0,"none"
"Q488",0,0,"none"
"Q492",1,33.3322183250968,"intra-island"
"Q501",0,0,"none"
"Q522",0,0,"none"
"Q524",0,0,"none"
"Q541",0,0,"none"
"Q543",0,0,"none"
"Q547",0,0,"none"
"Q554",0,0,"none"
"Q559",1,99.2897063035558,"adjacent"
"Q590",1,21.7288643206667,"intra-island"
"Q599",0,0,"none"
"Q615",1,21.7288643206667,"intra-island"
"Q624",1,10.68307130369,"adjacent"
"Q645",0,0,"none"
"Q663",1,79.9773915435835,"inter-island"
"Q703",0,0,"none"
"Q704",0,0,"none"
"Q722",0,0,"none"
"Q739",0,0,"none"
"Q745",0,0,"none"
"Q746",0,0,"none"
"Q751",0,0,"none"
"Q752",0,0,"none"
"Q759",0,0,"none"
"Q763",0,0,"none"
"Q771",0,0,"none"
"Q773",0,0,"none"
"Q774",0,0,"none"
"Q775",0,0,"none"
"Q777",0,0,"none"
"Q779",0,0,"none"
"Q783",0,0,"none"
"Q784",0,0,"none"
"Q785",0,0,"none"
"Q787",0,0,"none"
"Q793",0,0,"none"
"Q798",0,0,"none"
"Q802",0,0,"none"
"Q823",1,42.077867449472,"intra-island"
"Q827",1,47.7289331107488,"intra-island"
"Q828",0,0,"none"
"Q836",0,0,"none"
"Q838",0,0,"none"
"Q844",0,0,"none"
"Q851",0,0,"none"
"Q867",0,0,"none"
"Q878",1,47.7289331107488,"intra-island"
