,V1,mean,sd,X2.5.,X50.,X97.5.,Rhat,n.eff
Linf_mu,Model 1,61.35,1.77,58.16,61.26,65.03,1.00,1200
Linf_std,Model 1,5.29,0.35,4.61,5.29,5.99,1.00,60000
Linf_tau,Model 1,0.04,0.00,0.03,0.04,0.05,1.00,60000
Shape,Model 1,31.22,5.34,22.44,30.64,43.43,1.00,1700
deviance,Model 1,3403.95,104.18,3187.05,3408.58,3594.17,1.00,2600
k_mu,Model 1,0.30,0.03,0.24,0.29,0.35,1.00,1100
k_std,Model 1,0.01,0.00,0.00,0.01,0.02,1.00,89000
k_tau,Model 1,16638.56,11206.64,3514.55,13801.69,45752.82,1.00,89000
rate,Model 1,11.75,1.84,8.72,11.55,15.94,1.00,3000
tau,Model 1,0.21,0.03,0.16,0.21,0.28,1.00,3000
variance,Model 1,4.81,0.68,3.55,4.78,6.21,1.00,3000
Linf_mu.1,Model 2,61.63,1.84,58.35,61.52,65.60,1.00,3700
Linf_std.1,Model 2,5.33,0.35,4.66,5.32,6.03,1.00,110000
Linf_tau.1,Model 2,0.04,0.00,0.03,0.04,0.05,1.00,110000
Shape.1,Model 2,30.85,5.02,22.50,30.33,42.17,1.00,2200
deviance.1,Model 2,3407.26,102.70,3192.68,3411.91,3596.17,1.00,3100
k_mu.1,Model 2,0.29,0.04,0.22,0.29,0.36,1.00,6100
k_std.1,Model 2,0.02,0.02,0.01,0.01,0.07,1.00,110000
k_tau.1,Model 2,9920.78,9897.17,226.69,6882.50,36624.34,1.00,110000
rate.1,Model 2,11.52,1.71,8.65,11.35,15.38,1.00,3300
tau.1,Model 2,0.21,0.03,0.16,0.21,0.28,1.00,3700
variance.1,Model 2,4.83,0.68,3.57,4.80,6.22,1.00,3700
Linf_mu.2,Model 3,74.44,31.01,0.96,74.92,141.12,1.00,78000
Linf_std.2,Model 3,249.92,45369.72,0.01,1.33,369.43,1.00,110000
Linf_tau.2,Model 3,569.32,2373.11,0.00,0.56,6155.82,1.00,110000
Shape.2,Model 3,62.36,13.73,40.77,60.37,93.66,1.00,1400
deviance.2,Model 3,3849.87,47.19,3759.04,3849.34,3944.71,1.00,110000
k_mu.2,Model 3,0.17,0.02,0.14,0.17,0.20,1.00,2900
k_std.2,Model 3,0.02,0.00,0.01,0.02,0.03,1.00,66000
k_tau.2,Model 3,2940.66,1053.97,1529.56,2740.53,5532.10,1.00,66000
rate.2,Model 3,17.71,3.91,11.61,17.12,26.64,1.00,1900
tau.2,Model 3,0.12,0.01,0.10,0.12,0.14,1.00,110000
variance.2,Model 3,8.49,0.68,7.26,8.46,9.91,1.00,110000
Linf_mu.3,Model 4,74.24,30.90,0.49,74.68,140.69,1.00,110000
Linf_std.3,Model 4,77.14,2436.28,0.01,1.30,351.70,1.00,110000
Linf_tau.3,Model 4,576.32,2356.43,0.00,0.59,6321.73,1.00,110000
Shape.3,Model 4,33.43,3.78,26.65,33.19,41.50,1.00,46000
deviance.3,Model 4,3988.08,39.95,3912.48,3987.16,4068.81,1.00,110000
k_mu.3,Model 4,0.16,0.03,0.10,0.16,0.22,1.00,73000
k_std.3,Model 4,0.02,0.02,0.01,0.01,0.07,1.00,99000
k_tau.3,Model 4,9901.19,9929.88,236.54,6813.09,36702.03,1.00,99000
rate.3,Model 4,9.38,0.99,7.60,9.32,11.50,1.00,110000
tau.3,Model 4,0.10,0.01,0.09,0.10,0.11,1.00,110000
variance.3,Model 4,10.15,0.74,8.80,10.11,11.69,1.00,110000